pH,Crop,N,P,K
6.5,10,5,10,10
6.6,10,5,10,10
6.7,10,5,10,10
6.8,10,5,10,10
5.6,11,10,10,20
5.7,11,10,10,20
5.8,11,10,10,20
5.9,11,10,10,20
6,11,10,10,20
6.2,12,24,8,16
6.3,12,24,8,16
6.4,12,24,8,16
6.5,12,24,8,16
6.6,12,24,8,16
6.7,12,24,8,16
6.8,12,24,8,16
6,13,50,50,50
6.1,13,50,50,50
6.2,13,50,50,50
6.3,13,50,50,50
6.4,13,50,50,50
6.5,13,50,50,50
6.6,13,50,50,50
6.7,13,50,50,50
6.8,13,50,50,50
5.8,14,40,20,40
5.9,14,40,20,40
6,14,40,20,40
6.1,14,40,20,40
6.2,14,40,20,40
6.3,14,40,20,40
6.4,14,40,20,40
6.5,14,40,20,40
6,15,5,15,15
6.1,15,5,15,15
6.2,15,5,15,15
6.3,15,5,15,15
6.4,15,5,15,15
6.5,15,5,15,15
6.6,15,5,15,15
6.7,15,5,15,15
6.8,15,5,15,15
6.9,15,5,15,15
7,15,5,15,15
6.5,16,50,40,40
6.6,16,50,40,40
6.7,16,50,40,40
6.8,16,50,40,40
6.9,16,50,40,40
7,16,50,40,40
7.1,16,50,40,40
7.2,16,50,40,40
7.3,16,50,40,40
7.4,16,50,40,40
7.5,16,50,40,40
5.5,17,500,425,975
5.6,17,500,425,975
5.7,17,500,425,975
5.8,17,500,425,975
5.9,17,500,425,975
6,17,500,425,975
6.1,17,500,425,975
6.2,17,500,425,975
6.3,17,500,425,975
6.4,17,500,425,975
6.5,17,500,425,975
6.6,17,500,425,975
6.7,17,500,425,975
6.8,17,500,425,975
6.9,17,500,425,975
7,17,500,425,975
7.1,17,500,425,975
7.2,17,500,425,975
6.5,18,110,35,55
6.6,18,110,35,55
6.7,18,110,35,55
6.8,18,110,35,55
6.9,18,110,35,55
7,18,110,35,55
7.1,18,110,35,55
7.2,18,110,35,55
7.3,18,110,35,55
7.4,18,110,35,55
7.5,18,110,35,55
6.5,19,110,35,55
6.6,19,110,35,55
6.7,19,110,35,55
6.8,19,110,35,55
6.9,19,110,35,55
7,19,110,35,55
7.1,19,110,35,55
7.2,19,110,35,55
7.3,19,110,35,55
7.5,19,110,35,55
5.5,20,320,320,320
5.6,20,320,320,320
5.7,20,320,320,320
5.8,20,320,320,320
5.9,20,320,320,320
6,20,320,320,320
6.1,20,320,320,320
6.2,20,320,320,320
6.3,20,320,320,320
6.4,20,320,320,320
6.5,20,320,320,320
5.5,21,620,310,620
5.6,21,620,310,620
5.7,21,620,310,620
5.8,21,620,310,620
5.9,21,620,310,620
6,21,620,310,620
6.1,21,620,310,620
6.2,21,620,310,620
6.3,21,620,310,620
6.4,21,620,310,620
6.5,21,620,310,620
6.6,21,620,310,620
6.7,21,620,310,620
6.8,21,620,310,620
6.9,21,620,310,620
7,21,620,310,620
5.5,22,75,20,70
5.6,22,75,20,70
5.7,22,75,20,70
5.8,22,75,20,70
5.9,22,75,20,70
6,22,75,20,70
6.1,22,75,20,70
6.2,22,75,20,70
6.3,22,75,20,70
6.4,22,75,20,70
6.5,22,75,20,70
6.6,22,75,20,70
6.7,22,75,20,70
6.8,22,75,20,70
6.9,22,75,20,70
7,22,75,20,70
7.1,22,75,20,70
7.2,22,75,20,70
7.3,22,75,20,70
7.4,22,75,20,70
7.5,22,75,20,70
